"","newdata.code1","newdata.code2","fit_value","fit_exp"
"22672","TGO","RWA",-11.2891478029141,1.25079288979082e-05
"22673","TGO","STP",-11.5207073537381,9.92248311738768e-06
"22674","TGO","KEN",-7.53673505940134,0.000533135438858693
"22675","TGO","LTU",-10.753736921318,2.13654180648013e-05
"22676","TGO","MWI",-11.4306793172405,1.08572302519875e-05
"22677","TGO","ETH",-9.45468255700527,7.83219582388231e-05
"22678","TGO","SEN",-8.11965354711738,0.000297631757961839
"22679","TGO","MLI",-9.77091189515,5.70882697903467e-05
"22680","TGO","BRB",-13.4148821225749,1.49276250772164e-06
"22681","TGO","BFA",-5.98584960145777,0.00251407684750826
"22682","TGO","GAB",-9.50020686625043,7.48363471717951e-05
"22683","TGO","IRN",-7.9354075524003,0.000357846099949858
"22684","TGO","KAZ",-11.1454514297522,1.44408230276062e-05
"22685","TGO","ISL",-12.931371683434,2.42089879602186e-06
"22686","TGO","CMR",-6.61581259714521,0.00133902626491384
"22687","TGO","JOR",-9.93685266144373,4.83592683561629e-05
"22688","TGO","SUR",-12.7738198072319,2.83400456122434e-06
"22689","TGO","BRA",-6.33604232878614,0.00177129860053111
"22690","TGO","SLE",-8.48701121561903,0.00020612841376034
"22691","TGO","AUS",-9.76322657259733,5.75287018209569e-05
"22692","TGO","HND",-10.3158383800125,3.31045977626242e-05
"22693","TGO","QAT",-10.253930290161,3.52188083421356e-05
"22694","TGO","TJK",-13.2604786523137,1.74199656342115e-06
"22695","TGO","NER",-8.96522894384013,0.000127776368409831
"22696","TGO","GBR",-7.36572673288367,0.000632565533227634
"22697","TGO","COM",-12.5706229856363,3.47254436731045e-06
"22698","TGO","GHA",-2.54185281965164,0.0787204098635565
"22699","TGO","BDI",-11.5735418973714,9.41184178304726e-06
"22700","TGO","TCD",-10.4693962083512,2.83921968784451e-05
"22701","TGO","PAN",-10.9922693798191,1.68313156515537e-05
"22702","TGO","COG",-8.96044202600768,0.000128389489696163
"22703","TGO","LSO",-13.9964038104763,8.34524437328554e-07
"22704","TGO","DJI",-11.816589115792,7.38109087088722e-06
"22705","TGO","LAO",-13.3985236758616,1.51738260793533e-06
"22706","TGO","CYP",-11.918988209395,6.66268361488301e-06
"22707","TGO","DEU",-7.11452343121026,0.000813208168634886
"22708","TGO","SLV",-10.7934792729927,2.05329576404278e-05
"22709","TGO","DOM",-9.95097996758049,4.76808853126598e-05
"22710","TGO","CHL",-9.46340432239055,7.7641822796866e-05
"22711","TGO","CRI",-11.0117632197376,1.65063860312629e-05
"22712","TGO","GIN",-7.89584374073993,0.000372287653376224
"22713","TGO","MEX",-7.77943185741693,0.000418249732604667
"22714","TGO","MDV",-13.1743102102115,1.89875868267115e-06
"22715","TGO","ROU",-8.73491307674565,0.00016087014411005
"22716","TGO","ARM",-13.8434645776524,9.72433078549519e-07
"22717","TGO","NGA",-4.07842164084016,0.0169341727771608
"22718","TGO","GTM",-9.78359020001263,5.63690561406263e-05
"22719","TGO","PRT",-8.90357914237465,0.000135901643643319
"22720","TGO","ABW",-14.5752932535621,4.67768064025911e-07
"22721","THA","CAN",-8.89565359346478,0.000136983018350533
"22722","THA","BLZ",-14.101604380822,7.51192133647867e-07
"22723","THA","TCD",-12.4900297244356,3.7639947748395e-06
"22724","THA","BOL",-13.5197000729921,1.34421538367534e-06
"22725","THA","TUN",-10.1725019831859,3.82066114322035e-05
"22726","THA","ISR",-9.63809074038828,6.51974147828027e-05
"22727","THA","HRV",-10.9004345144997,1.84502153677016e-05
"22728","THA","CPV",-13.5405544676958,1.31647286762833e-06
"22729","THA","SVK",-13.2237984098595,1.80707975640593e-06
"22730","THA","TJK",-12.1994330915837,5.03330822324238e-06
"22731","THA","KGZ",-12.1719733388537,5.17343676494278e-06
"22732","THA","CAF",-13.5735850506506,1.2736993079991e-06
"22733","THA","FIN",-10.2692494963333,3.4683395675276e-05
"22734","THA","TGO",-10.3975576563626,3.05069004291152e-05
"22735","THA","MDV",-11.6808249486444,8.45438810816816e-06
"22736","THA","BLR",-12.4778712854085,3.81003841801294e-06
"22737","THA","IDN",-4.68477931285428,0.00923477238292697
"22738","THA","RWA",-12.1905706129041,5.0781140621882e-06
"22739","THA","MYS",-5.88275873028036,0.00278708584148485
"22740","THA","HTI",-10.7319145944302,2.18367856649966e-05
"22741","THA","PAN",-11.6354087510163,8.84720692000761e-06
"22742","THA","GIN",-10.2781320208109,3.43766837688402e-05
"22743","THA","MOZ",-8.86836934491354,0.000140771951115404
"22744","THA","ZMB",-12.4460050453615,3.93340519520038e-06
"22745","THA","MKD",-14.2765085692105,6.30653931612221e-07
"22746","THA","SVN",-11.369698756425,1.1539913917222e-05
"22747","THA","GNB",-12.1625286862133,5.22252954534517e-06
"22748","THA","ARG",-9.15940289692148,0.000105225709890878
"22749","THA","SEN",-10.1408008900483,3.94372053088985e-05
"22750","THA","NER",-12.086713970898,5.63386995532714e-06
"22751","THA","COG",-10.8258608854125,1.98787172112965e-05
"22752","THA","AUT",-12.6129371666493,3.32867188570276e-06
"22753","THA","VEN",-9.54254391634767,7.17341297210118e-05
"22754","THA","ARE",-9.23875451104726,9.7198574616252e-05
"22755","THA","LUX",-15.1422862637472,2.65331390045205e-07
"22756","THA","JPN",-6.21612597144692,0.00199696655672381
"22757","THA","LBR",-11.3868321416688,1.13438802817922e-05
"22758","THA","LVA",-10.6865175584314,2.28509570281423e-05
"22759","THA","MDA",-13.6178586746227,1.21853812655785e-06
"22760","THA","BEL",-9.87660831251884,5.13621872668062e-05
"22761","THA","GRC",-9.73709487239675,5.90518390183075e-05
"22762","THA","KHM",-5.35402748267055,0.00472906636086676
"22763","THA","SAU",-8.20451116397115,0.00027341735316757
"22764","THA","MLT",-13.0931028713517,2.05938560149181e-06
"22765","THA","MNG",-12.8319067950028,2.67407563323882e-06
"22766","THA","HND",-10.7938473104166,2.05254021340327e-05
"22767","THA","VNM",-4.42615686875476,0.0119603667196126
"22768","THA","UKR",-7.79040691971615,0.000413684513339673
"22769","THA","ABW",-15.3590974393219,2.13613519286825e-07
"22770","THA","FJI",-12.5160887681813,3.66717565605107e-06
"22771","THA","BRB",-14.3408566066037,5.91350692853019e-07
"22772","THA","PRY",-13.8484505442365,9.67596626927126e-07
"22773","THA","SYR",-9.57670308140523,6.9325130681714e-05
"22774","THA","ALB",-11.2552680274422,1.29389550265498e-05
"22775","THA","NZL",-10.5509189476617,2.61694214861061e-05
"22776","THA","CHL",-10.1420126456419,3.93894459969202e-05
"22777","THA","ZAF",-8.42603783877755,0.000219087834281208
"22778","THA","HUN",-12.5515500122342,3.53941176666667e-06
"22779","THA","MRT",-11.5970532166378,9.19313804721426e-06
"22780","THA","ARM",-13.6837592601781,1.14082455838945e-06
"22781","THA","UZB",-10.4694848364435,2.83896806437046e-05
"22782","THA","BRA",-7.44780121737783,0.000582721482469072
"22783","THA","JAM",-12.0906914848899,5.61150566537429e-06
"22784","THA","BWA",-14.2452722479873,6.50664136003886e-07
"22785","THA","COD",-8.00009213629668,0.000335431721042145
"22786","THA","LAO",-6.61568075032434,0.00133920282290898
"22787","THA","DOM",-10.6719624162417,2.31859882556994e-05
"22788","THA","BDI",-12.5051730008375,3.70742496873324e-06
"22789","THA","IRQ",-8.58150047249233,0.000187543362524911
"22790","THA","SUR",-13.8158775735822,9.996330517241e-07
"22791","THA","UGA",-11.1517037168005,1.43508165232784e-05
"22792","THA","BGR",-9.97671647972992,4.64694021736834e-05
"22793","THA","IRL",-10.7810408437603,2.07899503604834e-05
"22794","THA","AGO",-8.72614392126097,0.000162287042839504
"22795","THA","ROU",-9.08248977230098,0.000113638321399287
"22796","THA","ITA",-8.11598860450179,0.000298724562585267
"22797","THA","JOR",-10.2033604736377,3.70456184513588e-05
"22798","THA","OMN",-9.52859196959171,7.27419748315173e-05
"22799","THA","MUS",-11.5099942247712,1.00293554048432e-05
"22800","THA","NAM",-11.7766323278032,7.68198694243473e-06
"22801","THA","COM",-12.7311592032121,2.95752081460867e-06
"22802","THA","KWT",-10.0852531235927,4.1689839180254e-05
"22803","THA","IND",-3.48810905923196,0.0305586020785825
"22804","THA","LBN",-10.3446109536002,3.21656658063456e-05
"22805","THA","URY",-11.6819422872409,8.44494696948134e-06
"22806","THA","SLV",-11.2399076695784,1.31392362640248e-05
"22807","THA","PRT",-10.0311511991881,4.40074685275286e-05
"22808","THA","QAT",-9.88116634298409,5.11286095839734e-05
"22809","THA","STP",-14.5297348656976,4.8957172154551e-07
"22810","THA","YEM",-9.13985873049089,0.000107302487010703
"22811","THA","KAZ",-11.970851756183,6.32594102233072e-06
"22812","THA","LSO",-14.5895375279265,4.61152277781427e-07
"22813","THA","ECU",-10.246475352372,3.54823434657838e-05
"22814","THA","BFA",-12.5702475781505,3.47384823118526e-06
"22815","THA","PAK",-5.96848074332891,0.00255812491657621
"22816","THA","SYC",-13.8514101428734,9.64737162789362e-07
"22817","THA","NOR",-10.289527538846,3.39871672354439e-05
"22818","THA","GMB",-12.3581271158182,4.29470746338194e-06
"22819","THA","EST",-11.6705657875611,8.54156947682788e-06
"22820","THA","PHL",-5.81353316664072,0.00298685833923122
"22821","THA","USA",-6.82984857556531,0.00108102179832508
"22822","THA","TZA",-7.78653142619986,0.000415290855663012
"22823","THA","IRN",-7.53794229766248,0.000532492205704491
"22824","THA","CZE",-12.4214123705639,4.03133742198427e-06
"22825","THA","BIH",-11.6339990393399,8.85968772600886e-06
"22826","THA","MDG",-8.40636723971896,0.000223440088618198
"22827","THA","LKA",-7.62814150728467,0.000486564294762699
"22828","THA","GEO",-10.564839210223,2.5807660016898e-05
"22829","THA","DNK",-10.2774324935869,3.44007396078832e-05
"22830","THA","GRD",-15.1469107695436,2.64107196321176e-07
"22831","THA","BEN",-10.1184620101237,4.03281020727281e-05
"22832","THA","GAB",-12.1707070138014,5.17999216728357e-06
"22833","THA","TUR",-7.72265069025149,0.000442685624867789
"22834","THA","MLI",-12.4802609860047,3.80094443720754e-06
"22835","THA","PER",-9.53599338635907,7.22055686907455e-05
"22836","THA","AZE",-11.9697958348129,6.3326242465005e-06
"22837","THA","EGY",-7.6699686211829,0.000466632465848172
"22838","THA","SWE",-9.64912287098229,6.44821013590073e-05
"22839","THA","RUS",-6.71409514573677,0.00121368372210457
"22840","THA","KOR",-6.91824261826179,0.000989567461125482
"22841","THA","CRI",-11.5721474337208,9.42497540935316e-06
"22842","THA","MAR",-9.00812142579206,0.000122411599429889
"22843","THA","VCT",-15.3573849596009,2.13979641505707e-07
"22844","THA","CHE",-12.5972126146931,3.3814274515015e-06
"22845","THA","ESP",-8.54878351884861,0.00019378068678831
"22846","THA","DJI",-11.9481726461173,6.47104695226999e-06
"22847","THA","CIV",-9.61769721287481,6.6540670360549e-05
"22848","THA","COL",-9.09814157419141,0.000111873524062758
"22849","THA","MEX",-8.01785051105328,0.000329527577987124
"22850","THA","NIC",-11.1990767096382,1.36868271492949e-05
"22851","THA","BGD",-4.84250765211645,0.00788725075103782
"22852","THA","ISL",-13.2181821776381,1.8172572889019e-06
"22853","THA","ZWE",-11.8158522134149,7.38653201884716e-06
"22854","THA","SGP",-7.75462987294288,0.000428752866864142
"22855","THA","GBR",-7.9554428176226,0.000350747902997976
"22856","THA","FRA",-8.06553843757136,0.00031418190089564
"22857","THA","BTN",-13.0920649790949,2.06152413145111e-06
"22858","THA","TTO",-12.6407250430594,3.23744848491887e-06
"22859","THA","BHS",-13.7629274510999,1.05399015225549e-06
"22860","THA","LCA",-14.8457459962504,3.56922917356084e-07
"22861","THA","KEN",-8.05123205945531,0.000318709012034621
"22862","THA","MWI",-12.0168726653808,6.04141280425349e-06
"22863","THA","NGA",-7.2930539670784,0.000680247424049494
"22864","THA","POL",-8.42595993970898,0.000219104901684194
"22865","THA","DZA",-9.01494346760853,0.000121579344446683
"22866","THA","SLE",-10.9243871324508,1.80135351034245e-05
"22867","THA","BHR",-10.9793083067961,1.70508874319231e-05
"22868","THA","CHN",-3.24231384104834,0.039073380829094
"22869","THA","GHA",-8.95867813408812,0.000128616154727134
"22870","THA","CMR",-9.18244848992186,0.000102828450240318
"22871","THA","GNQ",-12.4051901261633,4.09726808873956e-06
"22872","THA","NPL",-9.47064341155534,7.70817962055908e-05
"22873","THA","TKM",-12.2536499899797,4.76768359753894e-06
"22874","THA","ETH",-9.84587066727449,5.29654540518941e-05
"22875","THA","GTM",-10.201312183036,3.71215764088922e-05
"22876","THA","CYP",-12.2317600704639,4.87319845033368e-06
"22877","THA","LTU",-10.891695359312,1.86121612675346e-05
"22878","THA","AUS",-8.54909405598848,0.000193720520030563
"22879","THA","NLD",-9.21432586366559,9.96022439842079e-05
"22880","THA","DEU",-7.50797817188416,0.000548689323507604
"22881","TJK","NLD",-8.85095296889978,0.000143245163026191
"22882","TJK","EGY",-7.15261772156246,0.000782812212464043
"22883","TJK","CAF",-13.5363239983029,1.32205396280386e-06
"22884","TJK","PHL",-7.5137636392202,0.000545524064429184
"22885","TJK","ESP",-8.28925674038822,0.000251201101007494
"22886","TJK","SYC",-14.1889014544451,6.88396088635125e-07
"22887","TJK","VCT",-15.4051197116688,2.04005330882072e-07
"22888","TJK","AZE",-10.7397831862187,2.16656351524457e-05
"22889","TJK","AGO",-8.83501070911591,0.000145547115032079
"22890","TJK","SGP",-9.96702550808172,4.69219249839714e-05
"22891","TJK","BGR",-9.43920462266142,7.9543650613697e-05
